cell_id,developmental_age,cell_type
SRR13524349,E16.5,sgn
SRR13524356,E16.5,sgn
SRR13524355,E16.5,sgn
SRR13524351,E16.5,sgn
SRR13524354,E16.5,sgn
SRR13524357,E16.5,sgn
SRR13524358,E16.5,sgn
SRR13524365,P3,sgn
SRR13524359,P3,sgn
SRR13524366,P3,sgn
SRR13524361,P3,sgn
SRR13524367,P3,sgn
SRR13524360,P3,sgn
SRR13524364,P3,sgn
SRR13524362,P3,sgn
SRR13524368,P3,sgn
SRR13524372,P3,sgn
SRR13524383,P3,sgn
SRR13524394,P3,sgn
SRR13524405,P3,sgn
SRR13524416,P3,sgn
SRR13524427,P3,sgn
SRR13524438,P3,sgn
SRR13524439,P3,sgn
SRR13524465,E16.5,sgn
SRR13524467,E16.5,sgn
SRR13524466,E16.5,sgn
SRR13524463,E16.5,sgn
SRR13524464,E16.5,sgn
SRR13524468,E16.5,sgn
SRR13524473,E16.5,sgn
SRR13524470,E16.5,sgn
SRR13524477,E16.5,sgn
SRR13524472,E16.5,sgn
SRR13524469,E16.5,sgn
SRR13524474,E16.5,sgn
SRR13524471,E16.5,sgn
SRR13524476,E16.5,sgn
SRR13524475,E16.5,sgn
SRR13524478,E16.5,sgn
SRR13524483,E16.5,sgn
SRR13524486,E16.5,sgn
SRR13524485,E16.5,sgn
SRR13524487,E16.5,sgn
SRR13524480,E16.5,sgn
SRR13524479,E16.5,sgn
SRR13524482,E16.5,sgn
SRR13524488,E16.5,sgn
SRR13524492,E16.5,sgn
SRR13524491,E16.5,sgn
SRR13524489,E16.5,sgn
SRR13524493,E16.5,sgn
SRR13524496,E16.5,sgn
SRR13524495,E16.5,sgn
SRR13524497,E16.5,sgn
SRR13524494,E16.5,sgn
SRR13524498,E16.5,sgn
SRR13524502,E16.5,sgn
SRR13524505,E16.5,sgn
SRR13524500,E16.5,sgn
SRR13524506,E16.5,sgn
SRR13524501,E16.5,sgn
SRR13524504,E16.5,sgn
SRR13524499,E16.5,sgn
SRR13524507,E16.5,sgn
SRR13524503,E16.5,sgn
SRR13524508,E16.5,sgn
SRR13524510,E16.5,sgn
SRR13524512,E16.5,sgn
